id,age,income,loan_amount,loan_term,credit_score,employment_status,loan_purpose,existing_loans,income_variability,loan_status
5434,46,4232,14443,12,305,Employed,Home,0,High,0
5435,34,13654,9433,48,461,Self-Employed,Car,2,Low,0
5436,34,3446,5990,24,596,Unemployed,Car,4,Low,1
5437,34,11657,10556,48,356,Unemployed,Home,4,High,0
5438,45,13959,31662,48,827,Employed,Business,4,Low,1
5439,56,7774,34097,24,358,Employed,Car,0,Low,0
5440,24,13819,9709,36,465,Unemployed,Education,3,Low,0
5441,35,5083,29357,36,845,Employed,Business,2,Low,1
5442,52,11735,41348,24,345,Employed,Business,1,Low,1
5443,38,10271,24186,24,346,Employed,Education,4,High,0
5444,34,8952,38639,60,689,Self-Employed,Education,1,Low,1
5445,21,9841,24208,60,551,Unemployed,Home,4,Low,1
5446,62,13479,27479,48,465,Employed,Car,4,High,1
5447,40,11463,32478,48,667,Employed,Education,2,Low,1
5448,30,11756,17922,60,678,Self-Employed,Home,0,High,1
5449,30,7391,32079,48,616,Self-Employed,Home,0,High,1
5450,44,11905,35766,36,431,Self-Employed,Business,1,High,0
5451,54,11201,24787,36,688,Self-Employed,Home,3,High,1
5452,48,10964,27537,12,647,Unemployed,Home,0,High,1
5453,47,9914,15383,60,796,Unemployed,Home,0,Low,1
5454,60,2482,43318,36,810,Employed,Business,3,Low,0
5455,21,12584,36895,12,818,Unemployed,Education,0,High,0
5456,53,7681,8207,24,751,Employed,Home,2,Low,0
5457,24,9437,33234,36,842,Unemployed,Car,2,Low,1
5458,27,13371,35568,12,515,Unemployed,Business,1,Low,1
5459,29,11773,8097,48,769,Unemployed,Education,1,High,0
5460,36,12713,24022,12,603,Employed,Home,1,Low,1
5461,25,11297,49046,36,597,Employed,Business,2,High,1
5462,54,13901,39392,48,645,Self-Employed,Education,1,High,0
5463,43,7203,20968,48,585,Employed,Education,1,Low,0
5464,63,5361,16149,12,425,Self-Employed,Car,2,Low,1
5465,45,14462,14717,12,350,Employed,Home,3,High,1
5466,33,7947,21642,36,718,Employed,Car,1,Low,1
5467,44,11033,18640,48,350,Unemployed,Business,0,High,1
5468,31,5534,21837,60,770,Employed,Home,2,High,0
5469,37,3872,13990,12,675,Unemployed,Business,3,Low,0
5470,57,9258,9170,60,664,Employed,Business,0,Low,1
5471,33,7982,29817,60,531,Self-Employed,Home,0,Low,0
5472,47,5505,10136,48,779,Employed,Education,4,Low,1
5473,40,5320,6712,36,605,Unemployed,Business,3,Low,0
5474,53,4728,33794,60,737,Unemployed,Business,4,High,0
5475,62,2954,39770,36,550,Unemployed,Home,2,Low,0
5476,52,3595,13151,12,641,Unemployed,Education,3,High,1
5477,28,4288,44022,48,431,Employed,Car,4,Low,1
5478,49,8845,15473,24,823,Unemployed,Home,2,Low,1
5479,60,9663,20303,48,805,Unemployed,Business,1,Low,0
5480,39,14627,24495,24,698,Employed,Home,0,Low,0
5481,26,8936,26625,12,417,Unemployed,Car,2,Low,1
5482,64,2743,18761,36,360,Self-Employed,Car,3,Low,1
5483,59,3494,13918,12,480,Self-Employed,Business,0,High,0
5484,61,8606,39599,48,612,Unemployed,Education,0,Low,1
5485,41,8944,6821,24,564,Self-Employed,Car,2,Low,1
5486,42,13538,39584,24,328,Unemployed,Home,1,Low,0
5487,62,14302,41200,48,562,Employed,Education,2,Low,1
5488,30,9208,23353,48,638,Self-Employed,Car,4,High,0
5489,30,12180,23768,12,721,Self-Employed,Home,4,Low,1
5490,49,2207,41447,60,388,Employed,Home,4,Low,1
5491,36,3083,34184,24,631,Self-Employed,Business,3,Low,1
5492,21,4412,21811,48,730,Unemployed,Business,2,Low,1
5493,37,5311,31595,12,451,Unemployed,Home,0,Low,1
5494,50,8751,31032,60,425,Self-Employed,Business,3,High,1
5495,46,9957,45966,36,342,Employed,Business,4,Low,1
5496,39,14202,44031,48,720,Unemployed,Car,3,Low,1
5497,41,10588,22757,60,789,Unemployed,Education,0,High,1
5498,37,12149,46600,36,552,Self-Employed,Car,3,High,1
5499,60,2208,16954,36,783,Employed,Education,1,High,1
5500,41,9548,34793,12,592,Unemployed,Car,4,High,1
5501,61,10624,42930,24,516,Employed,Home,2,High,1
5502,60,4656,31806,48,468,Self-Employed,Business,4,Low,1
5503,39,7850,28224,60,684,Self-Employed,Car,4,Low,1
5504,27,4436,34236,36,315,Unemployed,Education,2,Low,1
5505,37,14870,8811,24,336,Employed,Business,2,High,1
5506,21,14719,35368,36,720,Employed,Business,0,High,1
5507,57,7393,41074,48,595,Self-Employed,Car,0,Low,0
5508,26,14638,37719,48,734,Self-Employed,Business,1,Low,0
5509,46,2133,13637,12,619,Self-Employed,Education,3,Low,1
5510,22,9233,17133,48,833,Self-Employed,Car,3,Low,0
5511,52,2638,33871,48,598,Self-Employed,Education,3,Low,1
5512,25,3228,32571,48,315,Unemployed,Home,4,High,0
5513,57,13561,46472,24,694,Unemployed,Home,4,High,1
5514,51,14404,6401,60,576,Employed,Business,2,High,1
5515,32,6019,15004,60,582,Unemployed,Business,1,High,0
5516,55,11482,38313,48,385,Unemployed,Education,1,Low,1
5517,50,4196,40301,60,506,Unemployed,Home,3,Low,1
5518,26,11895,39777,48,776,Employed,Education,2,Low,1
5519,35,12418,33008,60,430,Unemployed,Business,3,Low,1
5520,35,12387,10901,60,699,Employed,Education,4,High,0
5521,36,14752,9085,36,435,Employed,Business,2,Low,1
5522,40,2975,7215,24,645,Unemployed,Home,3,Low,1
5523,33,8121,20763,36,469,Unemployed,Car,1,High,0
5524,64,3028,7184,36,462,Unemployed,Education,0,Low,0
5525,62,2525,15354,60,498,Self-Employed,Business,4,High,1
5526,51,4327,39043,12,347,Employed,Car,3,Low,1
5527,54,4546,14504,12,793,Employed,Car,2,Low,1
5528,49,2835,8523,24,402,Self-Employed,Home,2,Low,0
5529,23,4483,13707,48,847,Self-Employed,Business,3,Low,0
5530,29,13055,26167,60,305,Unemployed,Education,1,Low,1
5531,31,4734,38787,24,311,Self-Employed,Car,3,High,0
5532,31,11730,30871,36,402,Self-Employed,Business,4,Low,0
5533,45,12102,28982,60,726,Self-Employed,Business,2,Low,1
5534,42,9304,6049,36,470,Employed,Car,4,Low,0
5535,62,6049,18381,24,388,Self-Employed,Home,0,Low,1
5536,29,12834,7340,12,738,Unemployed,Business,1,High,1
5537,40,11495,47217,24,646,Employed,Home,3,Low,0
5538,41,10323,40753,60,510,Employed,Car,3,High,1
5539,30,2392,17061,60,733,Self-Employed,Car,1,High,1
5540,42,14768,10705,48,832,Self-Employed,Home,2,Low,0
5541,49,13776,29014,12,824,Self-Employed,Home,3,Low,1
5542,29,12867,38473,60,725,Self-Employed,Home,1,Low,0
5543,25,4466,33147,12,419,Unemployed,Education,3,Low,0
5544,60,3225,7484,60,477,Self-Employed,Home,2,Low,0
5545,31,4705,6745,12,428,Unemployed,Home,1,Low,1
5546,21,2461,27148,24,717,Self-Employed,Home,2,Low,1
5547,62,11993,21216,12,617,Self-Employed,Education,3,Low,0
5548,21,13465,37547,36,541,Unemployed,Business,1,Low,1
5549,59,5985,46929,24,655,Self-Employed,Education,0,High,0
5550,25,2151,27012,60,737,Employed,Business,3,Low,0
5551,42,12461,5777,60,757,Unemployed,Home,1,Low,0
5552,46,14366,14525,48,741,Unemployed,Home,0,Low,0
5553,26,3785,48077,36,527,Employed,Education,1,Low,1
5554,52,8242,48348,48,707,Unemployed,Education,4,Low,1
5555,31,10145,8114,24,576,Self-Employed,Car,4,High,1
5556,30,8356,40704,48,317,Unemployed,Education,1,Low,1
5557,59,9310,25494,24,610,Unemployed,Education,1,Low,1
5558,54,8845,6345,48,623,Employed,Home,4,High,1
5559,51,5460,7041,12,346,Unemployed,Home,3,Low,0
5560,32,3836,19330,24,829,Self-Employed,Home,4,High,0
5561,64,11589,18198,24,799,Unemployed,Education,4,High,0
5562,36,11267,45272,12,491,Unemployed,Car,4,Low,0
5563,58,7743,14747,12,348,Employed,Home,2,Low,1
5564,23,8278,22073,36,393,Employed,Car,3,High,0
5565,22,14698,35286,12,466,Unemployed,Car,2,Low,1
5566,25,12200,33028,48,793,Self-Employed,Education,3,Low,0
5567,31,3493,31110,12,553,Employed,Education,2,Low,0
5568,45,11327,28440,12,356,Employed,Home,2,Low,1
5569,55,3548,37887,24,305,Self-Employed,Business,1,High,1
5570,55,10976,43937,24,537,Employed,Education,4,Low,1
5571,42,7163,43600,12,523,Unemployed,Car,1,Low,0
5572,57,11612,17246,36,319,Employed,Education,1,Low,0
5573,42,7704,32428,24,503,Self-Employed,Education,1,High,1
5574,31,8404,6613,48,441,Unemployed,Car,0,Low,1
5575,52,8688,12623,48,675,Self-Employed,Education,3,Low,0
5576,55,12627,40801,12,706,Self-Employed,Education,1,High,0
5577,51,13673,10659,12,379,Self-Employed,Home,1,High,0
5578,28,5651,34653,36,509,Self-Employed,Car,0,Low,1
5579,40,4063,17080,12,611,Employed,Business,0,Low,1
5580,62,4020,16976,60,676,Employed,Business,4,Low,1
5581,54,6757,48586,60,339,Employed,Business,1,Low,1
5582,24,7923,20718,12,652,Employed,Education,3,High,1
5583,38,12341,14341,60,752,Unemployed,Car,1,Low,1
5584,24,9353,21296,48,722,Employed,Business,4,Low,1
5585,40,11142,31285,12,385,Self-Employed,Education,1,High,0
5586,29,10216,19134,48,535,Unemployed,Business,0,Low,1
5587,36,10209,34337,48,714,Employed,Home,0,Low,0
5588,46,14017,5455,60,655,Employed,Education,4,High,1
5589,58,2569,12643,36,547,Unemployed,Business,4,Low,0
5590,45,7112,9620,48,528,Employed,Education,0,Low,0
5591,24,3355,13867,60,838,Self-Employed,Car,0,Low,0
5592,61,10056,30577,36,660,Self-Employed,Education,1,Low,0
5593,61,11784,33647,60,474,Self-Employed,Car,4,High,0
5594,58,2830,30471,60,673,Self-Employed,Business,1,High,0
5595,39,7131,10099,12,360,Employed,Home,0,Low,0
5596,34,13274,18887,24,469,Self-Employed,Business,3,High,0
5597,41,7402,48314,36,806,Employed,Business,4,Low,1
5598,35,11063,32669,60,713,Employed,Car,1,Low,0
5599,23,2834,5059,48,415,Employed,Business,4,Low,0
5600,57,13504,17673,48,474,Employed,Education,3,Low,1
5601,36,6952,27695,24,723,Unemployed,Car,2,Low,1
5602,34,13308,10531,36,427,Unemployed,Home,0,High,0
5603,29,2969,7764,12,788,Unemployed,Education,3,Low,0
5604,27,2592,6794,36,304,Self-Employed,Home,2,Low,1
5605,34,2254,15721,48,625,Employed,Business,1,Low,0
5606,26,12306,10686,48,471,Employed,Home,3,Low,1
5607,41,13157,34467,12,498,Self-Employed,Business,2,Low,1
5608,35,4661,42755,12,530,Unemployed,Education,3,High,1
5609,28,10794,17888,48,632,Employed,Education,2,Low,1
5610,54,11257,44348,60,765,Self-Employed,Car,1,High,0
5611,60,3839,18533,60,723,Unemployed,Education,1,High,0
5612,21,7905,26916,12,612,Self-Employed,Business,1,Low,0
5613,52,4431,8553,60,822,Self-Employed,Car,1,Low,1
5614,25,9756,13144,12,723,Employed,Business,1,High,1
5615,50,7353,47042,36,474,Unemployed,Home,2,Low,0
5616,42,2965,30509,36,673,Unemployed,Car,1,Low,0
5617,40,3737,10437,36,536,Employed,Business,3,Low,1
5618,36,2484,29547,12,742,Unemployed,Business,3,High,0
5619,27,9941,37518,12,337,Self-Employed,Education,1,Low,0
5620,27,14326,28830,60,838,Self-Employed,Car,3,High,1
5621,22,10202,13749,60,455,Self-Employed,Business,1,High,1
5622,34,14911,27349,60,493,Employed,Education,3,Low,1
5623,51,14696,34289,24,460,Unemployed,Home,4,Low,0
5624,61,8251,10915,12,425,Employed,Car,0,Low,0
5625,34,4027,33695,36,846,Employed,Car,3,High,1
5626,25,7213,14734,36,538,Employed,Car,3,Low,0
5627,31,9990,19703,24,340,Employed,Car,0,High,0
5628,60,8227,27499,24,485,Unemployed,Business,4,Low,1
5629,25,13556,26478,36,760,Self-Employed,Home,0,Low,1
5630,49,13279,7382,12,688,Self-Employed,Education,3,Low,1
5631,31,13230,35128,36,560,Self-Employed,Business,1,Low,0
5632,25,8981,30583,36,705,Unemployed,Business,4,Low,1
5633,52,10796,47241,24,845,Unemployed,Car,3,Low,1
5634,56,2968,42126,24,748,Unemployed,Business,1,Low,0
5635,35,14452,46080,60,700,Self-Employed,Home,1,Low,1
5636,39,2436,33692,24,606,Unemployed,Business,4,High,1
5637,42,12966,37907,36,436,Self-Employed,Business,3,Low,0
5638,54,3809,12644,60,501,Self-Employed,Education,2,Low,1
5639,37,8546,39583,36,456,Employed,Business,1,Low,0
5640,32,10107,42069,12,554,Unemployed,Home,0,Low,1
5641,45,7505,20185,12,480,Employed,Car,2,High,1
5642,37,7257,45053,24,708,Unemployed,Car,0,Low,1
5643,30,6909,46988,60,327,Unemployed,Home,4,Low,0
5644,48,12961,15446,48,814,Employed,Car,1,Low,1
5645,38,12021,28162,12,844,Unemployed,Car,1,Low,1
5646,38,10484,19150,12,498,Unemployed,Business,4,Low,0
5647,52,14143,46304,12,368,Unemployed,Home,1,Low,1
5648,34,2461,34837,12,316,Self-Employed,Education,2,Low,1
5649,36,14076,41003,24,845,Self-Employed,Business,2,High,1
5650,38,5233,6387,60,359,Unemployed,Home,4,Low,0
5651,36,12283,17209,12,483,Employed,Business,3,Low,0
5652,37,14128,5983,24,664,Self-Employed,Home,1,High,1
5653,27,7202,37151,60,733,Self-Employed,Car,2,Low,0
5654,32,4939,26803,60,498,Unemployed,Education,0,High,1
5655,54,14998,24378,48,531,Self-Employed,Business,1,Low,1
5656,30,2088,12548,36,667,Employed,Car,2,Low,1
5657,25,3663,44621,12,729,Employed,Home,2,Low,0
5658,41,5301,5775,24,418,Employed,Business,2,Low,1
5659,23,7137,26365,60,629,Employed,Education,3,Low,0
5660,39,12912,35707,48,514,Self-Employed,Education,4,Low,1
5661,64,13129,29137,36,621,Self-Employed,Business,3,Low,1
5662,55,8029,26531,60,448,Employed,Car,0,Low,0
5663,26,2421,22870,60,707,Self-Employed,Education,0,Low,1
5664,34,5749,7001,12,676,Unemployed,Business,4,High,0
5665,24,6971,49407,36,619,Unemployed,Business,4,High,0
5666,38,8845,19756,36,304,Unemployed,Business,2,Low,0
5667,49,6433,45830,24,701,Unemployed,Home,0,High,1
5668,55,2265,32863,48,502,Unemployed,Education,2,High,1
5669,58,4850,15046,24,336,Employed,Business,4,Low,0
5670,36,3378,28652,48,353,Self-Employed,Home,0,High,0
5671,40,8503,41956,24,587,Employed,Home,2,Low,1
5672,44,9157,18886,48,583,Employed,Home,1,Low,1
5673,55,12006,25745,12,344,Employed,Car,1,High,0
5674,64,12456,44117,48,583,Self-Employed,Car,2,Low,1
5675,39,6416,36823,24,341,Unemployed,Business,3,Low,0
5676,24,2849,43948,36,716,Employed,Car,2,Low,1
5677,53,6814,18322,60,571,Self-Employed,Education,0,Low,0
5678,22,13928,12794,48,440,Employed,Education,4,High,1
5679,33,11183,11162,48,346,Self-Employed,Business,2,High,1
5680,50,5764,21757,36,466,Employed,Business,0,Low,1
5681,54,9379,10905,12,425,Unemployed,Education,0,Low,1
5682,50,12000,33765,24,771,Self-Employed,Business,1,Low,1
5683,44,5274,43457,12,669,Employed,Business,2,Low,0
5684,64,2716,24404,48,306,Unemployed,Business,3,High,0
5685,53,7080,20380,48,575,Unemployed,Car,3,Low,0
5686,61,2895,20508,12,364,Self-Employed,Business,4,High,0
5687,30,11368,24676,24,501,Unemployed,Business,4,Low,1
5688,38,13945,28260,48,441,Self-Employed,Home,1,Low,0
5689,39,11968,11897,48,397,Self-Employed,Home,2,High,1
5690,27,12996,6564,12,516,Unemployed,Business,4,High,1
5691,39,13584,18870,60,592,Unemployed,Car,2,Low,1
5692,44,11651,19219,36,807,Self-Employed,Home,3,Low,0
5693,35,4543,21441,48,433,Unemployed,Home,0,High,0
5694,61,9771,24880,24,561,Self-Employed,Business,3,Low,0
5695,62,6637,15379,60,583,Unemployed,Car,1,Low,1
5696,43,14922,7948,12,401,Self-Employed,Business,2,Low,1
5697,24,10066,34593,12,676,Unemployed,Home,0,Low,0
5698,58,5553,40902,24,505,Unemployed,Car,0,Low,1
5699,24,3349,22971,60,312,Employed,Business,1,Low,0
5700,25,4986,13969,24,422,Employed,Education,0,Low,1
5701,61,9196,25646,48,309,Self-Employed,Home,2,High,1
5702,64,13522,8678,60,466,Employed,Business,3,Low,0
5703,43,14985,48508,36,450,Employed,Car,2,Low,1
5704,60,4122,32519,36,336,Self-Employed,Education,4,Low,1
5705,57,13820,8343,24,773,Unemployed,Business,0,Low,1
5706,31,10689,9014,36,743,Unemployed,Business,0,Low,0
5707,31,13679,10107,24,641,Self-Employed,Home,2,Low,1
5708,33,10046,49638,48,304,Employed,Business,1,High,0
5709,34,10913,42096,48,525,Unemployed,Education,2,Low,1
5710,28,3363,42423,24,838,Employed,Business,3,High,0
5711,45,2307,43626,48,423,Self-Employed,Home,1,High,1
5712,38,4751,43388,36,702,Employed,Education,0,High,1
5713,64,11075,46880,48,334,Self-Employed,Education,0,High,0
5714,64,9782,37332,36,536,Self-Employed,Home,1,High,1
5715,38,3264,44772,36,767,Unemployed,Car,1,Low,1
5716,30,14540,39010,12,798,Self-Employed,Education,1,Low,0
5717,27,7339,28399,48,811,Unemployed,Car,0,Low,0
5718,64,12636,7661,48,616,Self-Employed,Education,0,Low,1
5719,34,13225,9798,24,602,Unemployed,Education,0,Low,0
5720,35,9503,5540,24,401,Employed,Home,0,Low,1
5721,36,7848,27329,60,611,Self-Employed,Business,0,Low,0
5722,22,11244,30850,36,381,Employed,Education,2,High,1
5723,50,2493,24169,12,492,Self-Employed,Business,2,Low,1
5724,50,4021,8157,36,523,Self-Employed,Education,2,Low,0
5725,38,3747,42485,48,352,Self-Employed,Car,1,Low,1
5726,51,7087,10336,60,644,Unemployed,Business,0,Low,0
5727,64,5302,12165,36,384,Unemployed,Car,2,Low,1
5728,33,9127,32618,60,510,Employed,Business,1,High,0
5729,40,7022,47280,36,482,Employed,Business,3,Low,0
5730,55,12471,18754,48,571,Self-Employed,Car,4,Low,1
5731,43,8155,10209,48,805,Employed,Home,3,Low,1
5732,62,11123,19490,36,526,Self-Employed,Car,3,Low,1
5733,53,8409,32601,12,311,Self-Employed,Home,4,Low,0
5734,58,12117,12645,48,392,Self-Employed,Home,1,High,0
5735,55,7254,43508,24,629,Unemployed,Business,4,Low,1
5736,56,10948,41922,12,489,Employed,Car,1,Low,1
5737,40,11246,40433,36,592,Unemployed,Education,3,Low,0
5738,23,14122,11018,12,560,Self-Employed,Education,4,Low,0
5739,28,14743,31374,24,622,Self-Employed,Car,3,High,1
5740,60,6354,10713,48,309,Unemployed,Education,4,Low,1
5741,52,14718,35072,48,387,Employed,Home,4,High,0
5742,49,5453,26535,48,639,Unemployed,Car,0,Low,1
5743,27,4516,36320,24,617,Unemployed,Home,2,High,0
5744,22,12156,32563,12,848,Employed,Business,2,Low,1
5745,41,8069,23962,36,522,Self-Employed,Car,3,Low,0
5746,26,9374,6026,36,508,Employed,Education,3,High,1
5747,48,10838,9473,12,348,Employed,Education,3,Low,1
5748,62,14734,9667,48,835,Unemployed,Home,0,High,0
5749,56,13022,32889,36,562,Self-Employed,Business,0,Low,1
5750,52,7208,31140,48,505,Self-Employed,Education,3,Low,0
5751,62,2194,21970,60,796,Self-Employed,Education,0,Low,0
5752,29,11337,20941,60,764,Unemployed,Business,4,High,1
5753,31,12701,34028,36,319,Unemployed,Home,4,Low,1
5754,43,6291,38452,12,407,Employed,Home,4,Low,1
5755,31,12275,27426,12,439,Employed,Business,2,Low,1
5756,22,8210,8268,12,390,Unemployed,Business,4,Low,1
5757,23,14932,20193,48,570,Employed,Home,2,Low,1
5758,31,13544,33066,60,628,Unemployed,Car,4,Low,0
5759,55,7130,5658,48,509,Employed,Home,3,Low,1
5760,35,2321,39064,24,754,Self-Employed,Car,2,Low,0
5761,63,12479,39293,24,583,Unemployed,Car,0,Low,1
5762,31,13323,48042,36,665,Employed,Car,2,Low,1
5763,51,14937,44918,24,783,Unemployed,Home,1,Low,1
5764,48,8705,12792,12,302,Unemployed,Business,2,Low,0
5765,48,3702,11604,36,463,Employed,Car,4,High,0
5766,52,12404,43557,60,687,Employed,Business,4,High,1
5767,45,2830,12420,60,308,Unemployed,Business,4,Low,0
5768,40,10380,43521,24,665,Unemployed,Education,0,High,0
5769,48,7606,28018,24,311,Employed,Business,3,High,0
5770,45,14244,10108,60,373,Self-Employed,Home,2,High,1
5771,31,2091,32150,24,537,Self-Employed,Home,0,Low,1
5772,39,5877,10247,24,407,Self-Employed,Car,1,Low,1
5773,48,12103,13401,48,824,Unemployed,Home,2,Low,0
5774,21,4336,22007,60,533,Self-Employed,Car,4,Low,1
5775,25,9676,14997,60,738,Unemployed,Home,0,Low,0
5776,30,3580,10261,24,780,Employed,Car,0,High,0
5777,62,11600,9268,12,391,Self-Employed,Home,2,Low,1
5778,54,10366,10984,48,497,Employed,Home,0,Low,1
5779,56,7792,25926,12,415,Self-Employed,Car,0,Low,1
5780,22,9746,36862,24,664,Self-Employed,Business,0,Low,1
5781,38,2473,37458,60,452,Employed,Education,2,Low,1
5782,33,13624,5010,12,407,Employed,Home,4,High,0
5783,25,2269,22144,36,827,Unemployed,Business,0,Low,0
5784,40,12236,30903,12,355,Employed,Education,0,High,0
5785,22,8550,6177,60,751,Unemployed,Education,3,Low,1
5786,31,13387,31946,24,691,Unemployed,Home,1,High,0
5787,50,2693,14168,12,507,Employed,Business,3,High,1
5788,52,14663,7389,24,809,Self-Employed,Home,4,Low,1
5789,52,3415,11364,48,599,Self-Employed,Car,3,High,1
5790,58,4083,32033,36,578,Self-Employed,Car,2,Low,1
5791,48,3235,16865,60,443,Employed,Education,3,Low,1
5792,30,5967,23936,60,503,Self-Employed,Car,2,Low,0
5793,42,12163,17327,24,528,Unemployed,Business,3,High,0
5794,37,10325,37252,36,564,Employed,Car,3,High,0
5795,42,13104,40078,60,765,Unemployed,Car,1,Low,1
5796,63,6785,8741,12,436,Self-Employed,Business,2,Low,1
5797,39,8125,45053,60,539,Self-Employed,Business,4,High,1
5798,37,8634,29001,12,748,Self-Employed,Car,0,Low,1
5799,44,7968,8839,60,614,Unemployed,Business,4,High,1
5800,56,2840,45349,12,450,Self-Employed,Home,3,High,0
5801,52,7083,24139,48,624,Unemployed,Car,4,Low,1
5802,56,3461,30398,24,702,Employed,Education,3,Low,0
5803,48,6934,30036,48,652,Employed,Business,3,High,0
5804,34,5472,43005,12,409,Employed,Business,0,Low,0
5805,56,9163,6740,24,765,Self-Employed,Home,1,Low,1
5806,26,8575,23508,36,339,Unemployed,Home,1,Low,1
5807,29,6843,36611,12,639,Self-Employed,Education,0,High,1
5808,41,13067,10291,60,671,Employed,Home,4,Low,1
5809,32,9739,36109,60,824,Employed,Home,2,High,1
5810,50,4509,24481,36,806,Self-Employed,Education,0,Low,1
5811,51,11157,10247,48,352,Self-Employed,Car,3,Low,1
5812,60,8022,46613,12,379,Self-Employed,Home,1,Low,0
5813,24,4038,26383,60,650,Unemployed,Car,1,Low,0
5814,51,14432,49501,24,639,Self-Employed,Education,4,Low,0
5815,47,3850,30319,36,420,Employed,Home,2,Low,1
5816,45,9432,44334,48,364,Employed,Business,0,High,1
5817,25,10926,28728,48,739,Unemployed,Car,3,High,1
5818,26,4453,38620,24,595,Self-Employed,Education,3,Low,0
5819,25,5016,35442,24,504,Unemployed,Business,2,High,0
5820,47,13194,26310,36,577,Self-Employed,Home,4,High,1
5821,28,8625,47521,24,434,Employed,Home,2,High,0
5822,29,9404,26452,60,677,Self-Employed,Car,4,High,1
5823,35,12507,17137,48,351,Self-Employed,Home,4,High,1
5824,56,6003,48636,24,366,Employed,Business,0,Low,0
5825,61,4313,19905,12,302,Employed,Car,0,Low,0
5826,27,6623,26773,24,750,Employed,Car,3,Low,1
5827,52,5163,35024,48,809,Self-Employed,Home,1,Low,0
5828,28,13511,22702,60,737,Unemployed,Education,4,High,1
5829,35,9186,21505,24,827,Self-Employed,Business,3,Low,1
5830,57,9015,9254,60,401,Unemployed,Home,1,High,1
5831,39,13653,13498,12,736,Self-Employed,Education,3,High,1
5832,59,9782,17174,48,320,Self-Employed,Car,4,High,0
5833,26,7214,34422,36,686,Self-Employed,Car,1,Low,0
5834,39,10621,34733,48,832,Self-Employed,Home,2,High,1
5835,48,8938,6896,36,391,Unemployed,Business,0,Low,1
5836,37,4988,43744,36,432,Self-Employed,Home,0,Low,1
5837,62,13988,8911,48,804,Employed,Home,1,Low,1
5838,39,7156,13340,36,752,Employed,Car,1,Low,1
5839,51,7512,22423,60,447,Self-Employed,Business,4,Low,0
5840,31,11788,47350,12,531,Unemployed,Home,1,Low,1
5841,35,13554,41672,24,464,Employed,Education,0,Low,0
5842,30,4350,9876,36,613,Employed,Education,4,Low,1
5843,63,11971,46077,36,597,Employed,Business,3,Low,1
5844,43,5988,5703,48,522,Self-Employed,Car,0,Low,1
5845,23,12640,43238,60,652,Employed,Car,2,High,0
5846,23,4870,11440,24,715,Unemployed,Business,4,High,1
5847,38,8487,36937,36,361,Unemployed,Home,2,High,1
5848,45,4910,7024,60,675,Unemployed,Home,1,Low,1
5849,63,6613,20751,24,704,Employed,Education,3,Low,1
5850,40,14452,17730,48,554,Employed,Education,1,Low,1
5851,49,12264,26380,36,750,Unemployed,Business,0,High,1
5852,42,13999,33972,48,689,Employed,Car,3,Low,0
5853,35,14416,42113,48,647,Unemployed,Business,0,Low,1
5854,59,4864,15149,36,801,Self-Employed,Home,3,Low,1
5855,30,13810,43402,60,621,Self-Employed,Home,2,Low,1
5856,41,3017,22381,60,843,Self-Employed,Business,0,Low,1
5857,49,6690,37359,48,363,Employed,Home,0,High,1
5858,52,11524,48808,48,453,Self-Employed,Home,1,High,1
5859,30,12675,5243,12,816,Self-Employed,Education,4,Low,1
5860,33,10373,7414,24,694,Unemployed,Home,0,High,1
5861,43,8759,8856,48,629,Unemployed,Education,3,High,0
5862,43,12030,11263,48,762,Unemployed,Car,1,Low,0
5863,51,4451,20799,24,391,Self-Employed,Business,4,High,1
5864,24,3952,46392,36,521,Unemployed,Home,0,Low,1
5865,23,6700,17470,60,489,Self-Employed,Education,2,High,0
5866,41,10454,18772,36,504,Employed,Education,1,Low,0
5867,22,8213,32382,24,511,Self-Employed,Business,2,Low,0
5868,24,2660,38909,24,388,Unemployed,Education,3,Low,0
5869,21,3315,9126,12,662,Unemployed,Home,1,Low,1
5870,35,9381,24408,12,670,Unemployed,Education,1,Low,1
5871,53,4919,19863,60,631,Unemployed,Education,1,High,1
5872,26,12386,18584,48,725,Employed,Car,4,High,0
5873,27,4072,28391,24,754,Employed,Home,4,Low,0
5874,39,7442,24840,12,721,Self-Employed,Business,0,Low,0
5875,64,4019,41965,36,470,Unemployed,Education,2,Low,0
5876,21,12932,30671,12,548,Employed,Education,0,Low,0
5877,59,8625,43592,36,480,Employed,Home,2,Low,1
5878,39,2815,17097,12,774,Employed,Home,0,Low,1
5879,46,6777,23839,36,782,Unemployed,Education,1,Low,0
5880,64,13610,49883,12,683,Employed,Home,1,Low,0
5881,32,14289,22774,12,703,Unemployed,Business,2,Low,0
5882,42,13909,42693,60,460,Employed,Home,1,Low,1
5883,33,6734,7469,48,547,Employed,Business,0,High,1
5884,48,5629,17468,24,618,Unemployed,Business,4,High,1
5885,34,4753,40470,48,830,Unemployed,Home,3,High,1
5886,42,8505,44025,60,412,Unemployed,Business,0,Low,0
5887,50,13559,45873,36,643,Employed,Home,2,Low,0
5888,64,6685,8165,48,422,Self-Employed,Home,1,Low,0
5889,40,2201,16370,24,618,Self-Employed,Education,3,High,0
5890,64,3004,48251,24,777,Unemployed,Education,3,Low,1
5891,47,3312,42198,36,712,Unemployed,Car,1,Low,0
5892,58,4025,47006,24,544,Self-Employed,Car,0,High,1
